commit_hash;modified;file_modified;CBO;WMC;DIT;NOC;RFC;LCOM;LOC
434d1f420;2;2;6.73;10.23;1.74;0.15;8.56;508.27;19462
5ab208308;2;2;6.73;10.23;1.74;0.15;8.56;508.27;19462
6c58557f5;23;1;6.73;10.23;1.74;0.15;8.56;508.53;19466
db627720e;354;24;6.73;10.23;1.74;0.15;8.56;508.27;19462
b9d5a4db8;3;1;6.75;10.25;1.73;0.15;8.62;506.49;19535
8bf04e968;56;7;6.76;10.26;1.73;0.15;8.62;506.54;19540
b5c7957c4;22;1;6.76;10.26;1.73;0.15;8.62;506.54;19540
8a62afb5a;9;2;6.77;10.25;1.73;0.15;8.63;506.48;19558
a9ef16b32;82;4;6.77;10.25;1.73;0.15;8.63;506.48;19558
42a355a62;68;2;6.77;10.25;1.73;0.15;8.63;506.48;19558
b17bd1a62;75;3;6.77;10.25;1.73;0.15;8.63;506.48;19558
52ee8ed9e;2;1;6.77;10.25;1.73;0.15;8.63;506.48;19558
06a06e6ed;55;1;6.76;10.27;1.73;0.15;8.63;505.39;19643
4c1975371;4;1;6.76;10.27;1.73;0.15;8.63;505.39;19643
4d8f008cb;74;2;6.76;10.27;1.73;0.15;8.63;505.39;19643
4ed9c5116;71;2;6.76;10.27;1.73;0.15;8.63;505.39;19643
5d6ac534b;425;17;6.76;10.27;1.73;0.15;8.63;505.39;19643
3480eb930;416;17;6.76;10.27;1.73;0.15;8.63;505.39;19643
08be74178;62;2;6.75;10.29;1.73;0.15;8.67;504.31;19735
27c309f88;4;2;6.75;10.29;1.73;0.15;8.67;504.31;19735
340bed9cd;11;1;6.75;10.29;1.73;0.15;8.67;504.31;19737
f51cd52c6;6;1;6.75;10.29;1.73;0.15;8.67;504.31;19740
99a620a38;143;10;6.73;10.26;1.72;0.15;8.59;501.4;19772
ad8ca8e58;57;1;6.73;10.26;1.72;0.15;8.59;501.92;19778
15fea59b8;59;2;6.73;10.26;1.72;0.15;8.59;501.4;19772
ea4d43a79;115;18;6.73;10.26;1.72;0.15;8.59;502.4;19784
3e11dc060;115;18;6.73;10.26;1.72;0.15;8.59;502.4;19784
748fb50f6;88;4;6.73;10.26;1.72;0.15;8.59;502.4;19784
e1cb606ab;46;1;6.74;10.27;1.72;0.15;8.6;504.29;19792
5387e206a;7;1;6.73;10.28;1.73;0.16;8.58;506.39;19703
b0bc478fb;69;2;6.73;10.28;1.73;0.16;8.58;506.39;19703
aff44822d;41;1;6.74;10.27;1.73;0.16;8.55;504.17;19787
30905fc42;26;1;6.76;10.19;1.72;0.16;8.46;501.64;19820
9f2beac79;122;4;6.75;10.19;1.72;0.16;8.45;501.07;19848
7ba9a3e04;172;4;6.76;10.2;1.72;0.16;8.45;500.07;19902
a1c3ba9c8;4;2;6.76;10.2;1.72;0.16;8.45;500.07;19902
bc1c705e5;508;5;6.76;10.2;1.72;0.16;8.45;500.07;19902
d91ee5a63;579;5;6.76;10.2;1.72;0.16;8.45;500.07;19902
f00533c91;314;3;6.76;10.22;1.72;0.16;8.47;501.85;19948
2adb1fa6e;379;5;6.76;10.2;1.72;0.16;8.45;500.07;19902
7194f3eca;57;1;6.76;10.22;1.72;0.16;8.47;501.85;19948
421b9a4e1;48;2;6.76;10.22;1.72;0.16;8.47;501.85;19948
12c0e3011;2;1;6.76;10.15;1.73;0.16;8.47;502.33;20024
